date,min,max,pm25,q1,q3,stdev,count
2020-07-07T00:00:00.000Z,0.2,1.85,0.55,0.43,0.7,0.235,424
2020-07-08T00:00:00.000Z,0.2,2.5,0.7,0.52,0.9,0.285,445
2020-07-09T00:00:00.000Z,0.15,22.55,0.6,0.4,0.82,1.563,471
2020-07-10T00:00:00.000Z,0.37,3.03,1,0.77,1.4,0.421,427
2020-07-11T00:00:00.000Z,0.3,3.17,0.9,0.7,1.45,0.542,341
2020-07-12T00:00:00.000Z,0.28,2.8,0.8,0.62,1,0.275,388
2020-07-13T00:00:00.000Z,0.2,5.18,1,0.56,1.83,0.807,399
2020-07-14T00:00:00.000Z,0.9,186.15,1.83,1.57,2.17,9.428,444
2020-07-15T00:00:00.000Z,0.82,7.1,1.8,1.3,3.01,1.037,353
2020-07-16T00:00:00.000Z,0.93,119.28,1.9,1.4,5.52,8.988,329
2020-07-17T00:00:00.000Z,0.56,3.03,1.52,1.2,1.83,0.446,488
2020-07-18T00:00:00.000Z,0.88,35.42,1.95,1.55,2.45,2.48,454
2020-07-19T00:00:00.000Z,1.23,7.05,4.95,2.2,5.79,1.745,157
2020-07-20T00:00:00.000Z,0.7,5.09,2.75,1.4,3.75,1.232,175
2020-07-21T00:00:00.000Z,0.15,2.85,0.6,0.4,1,0.392,266
2020-07-22T00:00:00.000Z,0.1,4.05,0.3,0.28,0.4,0.341,277
2020-07-23T00:00:00.000Z,0.1,189.8,0.3,0.2,0.3,14.157,301
2020-07-24T00:00:00.000Z,0.1,280.64,0.4,0.3,0.5,15.674,389
2020-07-25T00:00:00.000Z,0.17,1.8,0.36,0.3,1.37,0.559,82
2020-07-26T00:00:00.000Z,0.4,2.95,1.1,0.77,1.55,0.495,447
2020-07-27T00:00:00.000Z,0.9,6.9,2.78,2.08,3.59,1.026,281
2020-07-28T00:00:00.000Z,1.08,8.02,2.78,2,5.57,1.995,425
2020-07-29T00:00:00.000Z,0.4,5.32,1.3,0.9,2.5,0.947,336
2020-07-30T00:00:00.000Z,0.43,3.87,1.3,0.98,1.79,0.578,357
2020-07-31T00:00:00.000Z,0.68,6.85,2.15,1.2,3.83,1.713,350
2020-08-01T00:00:00.000Z,1.3,103.95,3.83,2.44,4.84,6.769,364
2020-08-02T00:00:00.000Z,0.75,6.18,2.79,2.1,4.47,1.322,328
2020-08-03T00:00:00.000Z,0.37,5.5,1.5,0.8,2.15,0.834,366
2020-08-04T00:00:00.000Z,0.1,548.41,0.6,0.3,0.9,27.357,401
2020-08-05T00:00:00.000Z,0.5,174.2,1.27,0.9,1.5,8.761,410
2020-08-06T00:00:00.000Z,0.88,7.6,1.7,1.4,2.35,0.849,339
2020-08-07T00:00:00.000Z,0.6,6.3,2.29,1.8,3.15,0.996,420
2020-08-08T00:00:00.000Z,0.9,498.05,2.12,1.52,3.07,25.887,369
2020-08-09T00:00:00.000Z,0.6,7.53,2.08,1.4,4.75,1.961,446
2020-08-10T00:00:00.000Z,0.47,3.45,1,0.75,1.35,0.405,425
2020-08-11T00:00:00.000Z,0.47,3.1,1.2,0.93,1.6,0.442,455
